Дата,Количество статей
1999-08,17
1999-09,580
1999-10,725
1999-11,851
1999-12,904
2000-01,682
2000-02,1004
2000-03,1226
2000-04,1203
2000-05,1165
2000-06,1281
2000-07,339
2000-10,651
2000-11,1834
2000-12,1793
2001-01,1676
2001-02,1679
2001-03,1759
2001-04,1976
2001-05,1780
2001-06,1884
2001-07,1956
2001-08,1998
2001-09,981
2002-02,1
2002-03,336
2019-01,901
2019-02,824
2019-03,918
2019-04,878
2019-05,908
2019-06,875
2019-07,908
2019-08,905
2019-09,874
2019-10,894
2019-11,868
2019-12,884
2020-01,898
2020-02,839
2020-03,906
2020-04,880
2020-05,906
2020-06,883
2020-07,900
2020-08,906
2020-09,886
2020-10,915
2020-11,878
2020-12,905
2021-01,906
2021-02,818
2021-03,907
2021-04,864
2021-05,913
2021-06,883
2021-07,914
2021-08,914
2021-09,431
