Дата,Количество статей
2015-09,46
2015-10,192
2015-11,130
2015-12,201
2016-01,181
2016-02,224
2016-03,228
2016-04,256
2016-05,225
2016-06,177
2016-07,211
2016-08,238
2016-09,215
2016-10,235
2016-11,223
2016-12,219
2017-01,205
2017-02,195
2017-03,235
2017-04,229
2017-05,228
2017-06,218
2017-07,192
2017-08,215
2017-09,203
2017-10,212
2017-11,181
2017-12,181
2018-01,177
2018-02,161
2018-03,160
2018-04,205
2018-05,139
2018-06,178
2018-07,177
2018-08,165
2018-09,176
2018-10,169
2018-11,161
2018-12,155
2019-01,104
2019-02,112
2019-03,92
2019-04,111
2019-05,132
2019-06,144
2019-07,146
2019-08,87
