date,source,art_ind
1999-08,Lenta,17
1999-09,Lenta,580
1999-10,Lenta,725
1999-11,Lenta,851
1999-12,Lenta,904
2000-01,Lenta,682
2000-02,Lenta,1004
2000-03,Lenta,1226
2000-04,Lenta,1203
2000-05,Lenta,1165
2000-06,Lenta,1281
2000-07,Lenta,339
2000-10,Lenta,651
2000-11,Lenta,1834
2000-12,Lenta,1793
2001-01,Lenta,1676
2001-02,Lenta,1679
2001-03,Lenta,1759
2001-04,Lenta,1976
2001-05,Lenta,1780
2001-06,Lenta,1884
2001-07,Lenta,1956
2001-08,Lenta,1998
2001-09,Lenta,981
2002-02,Lenta,1
2002-03,Lenta,336
2015-09,Новости 33,46
2015-10,Новости 33,192
2015-11,Новости 33,130
2015-12,Новости 33,201
2016-01,Новости 33,181
2016-02,Новости 33,224
2016-03,Новости 33,228
2016-04,Новости 33,256
2016-05,Новости 33,225
2016-06,Новости 33,177
2016-07,Новости 33,211
2016-08,Новости 33,238
2016-09,Новости 33,215
2016-10,Новости 33,235
2016-11,Новости 33,223
2016-12,Новости 33,219
2017-01,Новости 33,205
2017-02,Новости 33,195
2017-03,Новости 33,235
2017-04,Новости 33,229
2017-05,Новости 33,228
2017-06,Новости 33,218
2017-07,Новости 33,192
2017-08,Новости 33,215
2017-09,Новости 33,203
2017-10,Новости 33,212
2017-11,Новости 33,181
2017-12,Новости 33,181
2018-01,Новости 33,177
2018-02,Новости 33,161
2018-03,Новости 33,160
2018-04,Новости 33,205
2018-05,Новости 33,139
2018-06,Новости 33,178
2018-07,Новости 33,177
2018-08,Новости 33,165
2018-09,Новости 33,176
2018-10,Новости 33,169
2018-11,Новости 33,161
2018-12,Новости 33,155
2019-01,Lenta,901
2019-01,Новости 33,104
2019-02,Lenta,824
2019-02,Новости 33,112
2019-03,Lenta,918
2019-03,Новости 33,92
2019-04,Lenta,878
2019-04,Новости 33,111
2019-05,Lenta,908
2019-05,Новости 33,132
2019-06,Lenta,875
2019-06,Новости 33,144
2019-07,Lenta,908
2019-07,Новости 33,146
2019-08,Lenta,905
2019-08,Новости 33,87
2019-09,Lenta,874
2019-10,Lenta,894
2019-11,Lenta,868
2019-12,Lenta,884
2019-12,ria.ru,229
2020-01,Lenta,898
2020-01,meduza.io,270
2020-01,ria.ru,1829
2020-01,tjournal.ru,139
2020-02,Lenta,839
2020-02,meduza.io,259
2020-02,ria.ru,1716
2020-02,tjournal.ru,113
2020-03,Lenta,906
2020-03,meduza.io,269
2020-03,ria.ru,1822
2020-03,tjournal.ru,159
2020-04,Lenta,880
2020-04,meduza.io,232
2020-04,ria.ru,1764
2020-04,tjournal.ru,150
2020-05,Lenta,906
2020-05,meduza.io,181
2020-05,ria.ru,1841
2020-05,tjournal.ru,107
2020-06,Lenta,883
2020-06,meduza.io,126
2020-06,ria.ru,1784
2020-06,tjournal.ru,70
2020-07,Lenta,900
2020-07,meduza.io,90
2020-07,ria.ru,1824
2020-07,tjournal.ru,56
2020-08,Lenta,906
2020-08,meduza.io,61
2020-08,ria.ru,1936
2020-08,tjournal.ru,63
2020-09,Lenta,886
2020-10,Lenta,915
2020-11,Lenta,878
2020-12,Lenta,905
2021-01,Lenta,906
2021-02,Lenta,818
2021-03,Lenta,907
2021-04,Lenta,864
2021-05,Lenta,913
2021-06,Lenta,883
2021-07,Lenta,914
2021-08,Lenta,914
2021-09,Lenta,431
